DC Bias Voltage (mV), DC Tunneling Current (mA)
1.009386, 0.019669
1.010997, 0.019749
1.014863, 0.019798
1.016474, 0.019894
1.018730, 0.019959
1.021307, 0.020023
1.023240, 0.020039
1.025495, 0.020120
1.028073, 0.020168
1.030006, 0.020200
1.032261, 0.020297
1.034194, 0.020329
1.036772, 0.020394
1.038383, 0.020442
1.040638, 0.020523
1.043538, 0.020539
1.046437, 0.020619
1.047404, 0.020684
1.050303, 0.020700
1.052559, 0.020764
1.054814, 0.020813
1.056747, 0.020829
1.058358, 0.020893
1.060935, 0.020941
1.063513, 0.020974
1.065768, 0.021038
1.068023, 0.021038
1.069956, 0.021086
1.072212, 0.021151
1.074467, 0.021199
1.076722, 0.021296
1.079300, 0.021360
1.081233, 0.021409
1.083166, 0.021489
1.085743, 0.021521
1.088321, 0.021570
1.090254, 0.021650
1.092509, 0.021666
1.094442, 0.021666
1.097020, 0.021699
1.098953, 0.021731
1.101208, 0.021795
1.103463, 0.021779
1.106041, 0.021844
1.107974, 0.021811
1.110551, 0.021844
1.112484, 0.021908
1.114740, 0.021924
1.117317, 0.021940
1.119572, 0.021988
1.122150, 0.022021
1.123116, 0.022037
1.125694, 0.022085
1.127949, 0.022101
1.130849, 0.022150
1.132460, 0.022198
1.134393, 0.022214
1.136648, 0.022262
1.139225, 0.022262
1.141803, 0.022311
1.143414, 0.022327
1.146313, 0.022359
1.147602, 0.022375
1.150824, 0.022407
1.152435, 0.022407
1.154690, 0.022440
1.156945, 0.022440
1.158878, 0.022504
1.161456, 0.022552
1.163711, 0.022601
1.166289, 0.022601
1.168222, 0.022633
1.170155, 0.022649
1.172732, 0.022697
1.174343, 0.022746
1.176921, 0.022746
1.179498, 0.022778
1.181753, 0.022810
1.183364, 0.022826
1.186586, 0.022858
1.188197, 0.022874
1.190130, 0.022891
1.192708, 0.022907
1.195607, 0.022955
1.197218, 0.022955
1.199473, 0.022939
1.202051, 0.023019
1.203984, 0.023019
1.206239, 0.023068
1.208817, 0.023068
1.211072, 0.023084
1.213005, 0.023132
1.214938, 0.023132
1.217516, 0.023164
1.219771, 0.023181
1.222026, 0.023181
1.224281, 0.023213
1.226214, 0.023229
1.228470, 0.023229
1.231047, 0.023293
1.232980, 0.023277
1.235236, 0.023277
1.238135, 0.023326
1.239102, 0.023326
1.242001, 0.023358
1.243934, 0.023390
1.246512, 0.023374
1.248445, 0.023406
1.251345, 0.023422
1.253600, 0.023438
1.255211, 0.023487
1.257144, 0.023487
1.259721, 0.023487
1.261010, 0.023503
1.264232, 0.023535
1.267132, 0.023519
1.269065, 0.023551
1.270676, 0.023535
1.273897, 0.023567
1.275186, 0.023567
1.277441, 0.023583
1.280019, 0.023599
1.281952, 0.023616
1.284529, 0.023648
1.286785, 0.023680
1.289040, 0.023664
1.291295, 0.023712
1.293228, 0.023712
1.295483, 0.023712
1.297739, 0.023760
1.299672, 0.023777
1.302894, 0.023728
1.304505, 0.023793
1.306115, 0.023793
1.308693, 0.023809
1.310626, 0.023809
1.312881, 0.023825
1.315137, 0.023857
1.317714, 0.023873
1.320291, 0.023873
1.321902, 0.023873
1.324158, 0.023873
1.327057, 0.023938
1.328990, 0.023938
1.331246, 0.023938
1.333501, 0.023986
1.335756, 0.024002
1.338334, 0.023986
1.340589, 0.024034
1.341555, 0.024050
1.344777, 0.024067
1.346710, 0.024050
1.348966, 0.024050
1.350254, 0.024083
1.353476, 0.024115
1.355409, 0.024099
1.357665, 0.024115
1.359598, 0.024147
1.362819, 0.024163
1.364430, 0.024163
1.367330, 0.024179
1.368941, 0.024228
1.371518, 0.024195
1.374096, 0.024228
1.376029, 0.024260
1.377962, 0.024276
1.380217, 0.024276
1.381828, 0.024292
1.384406, 0.024324
1.387627, 0.024340
1.389561, 0.024340
1.391171, 0.024357
1.394071, 0.024340
1.396326, 0.024373
1.398582, 0.024389
1.400193, 0.024437
1.402448, 0.024437
1.404703, 0.024437
1.406958, 0.024469
1.408891, 0.024485
